浙江中革实业有限公司                               2014年法兰克福国际家用及商用纺织品展览会                  
江苏弘业永为国际贸易有限公司                           2015年秋季美国拉斯维加斯国际服装服饰及面料辅料博览会            
重庆祥飞丝缘进出口贸易有限公司                          意大利服装面料展                                
浙江新大三锦服饰有限公司                             2014年9月法国巴黎国际面料博览会                      
舟山市利柯塑料机械制造有限公司                          2014年2月沙特国际塑胶印包化工博览会                    
温州凯升阀门管件有限公司                             2014年11月美国芝加哥国际包装展览会                    
温州帕斯特鞋业有限公司                              2014年1月意大利加达国际鞋展                        
温州市怀宇国际贸易有限公司                            2015年4月日本东京箱包展                          
浙江宏顺鞋业有限公司                               2015年第二批2月美国拉斯维加斯冬季鞋及服装展                
温州市帝美国际贸易有限公司                            2014年3月德国杜塞尔多夫春季鞋展                      
温州昊创进出口有限公司                              2015年1月意大利加达国际鞋展                        
台州佐文缝纫机有限公司                              2015年1月孟加拉国际服装、纺织工业机械及配件展               
绍兴绿世界纺织服饰有限公司                            2014慕尼黑国际面料展秋冬展                         
绍兴莱诗秀制衣有限公司                              2014年秋环球资源香港服装及面料展                      
绍兴县世格纺织有限公司                              2015年4月土耳其（春季）国际面料展览会                   
绍兴县扬泰纺织品有限公司                             2015年4月第十三届印尼纺织面料辅料及服装机械展览会             
绍兴拉菲格纺织品有限公司                             2015年4月土耳其（春季）国际面料展览会                   
浙江天马实业股份有限公司                             2015年2月法国国际面料展览会                        
绍兴柯桥欧雅提花织造有限公司                           2015年2月法国TEXWORLD面料展                    
绍兴县好特尚进出口有限公司                            2015年2月份法国面料参展览会                        
绍兴市柯桥区惠朵纺织品有限公司                          2015年4月环球资源香港服装及面料展                     
绍兴柯桥灵汐纺织有限公司                             2014年10月秘鲁纺织及服装工业展览会                    
绍兴县精梭纺织品有限公司                             2015年2月法国巴黎国际面料展览会                      
绍兴县汇森纺织有限公司                              2015年2月春季巴黎面料展                          
绍兴县斐然纺织有限公司                              2014年4月环球资源香港服装及面料展                     
绍兴县百昕晟针纺有限公司                             CIFS2014年斯里兰卡国际纺织面辅料展                   
绍兴县鹏达进出口有限公司                             2014年7月美国纽约面料、服装和家纺展                    
绍兴县多瑙河贸易有限公司                             2014第25届越南国际纺织面料及服装辅料展览会                
绍兴鹰翱进出口有限公司                              2014年3月香港国际春季成衣及时装材料展                   
绍兴百丰纺织有限公司                               2014年2月俄联邦轻工纺织展                         
绍兴县天悦进出口有限公司                             2014年9月15日法国巴黎国际面料展                     
绍兴县东立纺织有限公司                              2014年8月美国拉斯维加斯国际服装、面辅料及鞋类展览会            
绍兴县雪松纺织品有限公司                             2014年法国巴黎面料博览会                          
绍兴县熙尚纺织有限公司                              2014年9月法国国际面料展览会                        
绍兴县濡源进出口有限公司                             2014年秋季法国巴黎TEXWORLD面料展                  
绍兴县梓熙纺织品有限公司                             2014年第24届越南纺织及制衣工业展览会                   
绍兴县蔡氏纺织有限公司                              2014年7月美国TEXWORLD服装面料展                  
绍兴县恒山纺织品有限公司                             2014年9月法国巴黎TEXWORLD面料展                  
绍兴高新区金韩谷服装厂                              2014年8月美国加斯维拉斯服装展                       
绍兴纽时进出口有限公司                              2014年法国TEXWORLD9月面料展                    
绍兴市璐卡丝鞋业有限公司                             2014年6月意大利加达国际鞋展                        
绍兴市超翔纺织有限公司                              2014年2月阿尔及利亚国际纺织工业展览会                   
绍兴思朴来迪纺织品有限公司                            2015年2月美国拉斯维加斯服装及面料展MAGIC SHOW（春季）      
绍兴乔枫进出口有限公司                              2014年1月美国纽约TEXWORLD服装面料展                
丽水市富集进出口有限公司                             2014年印度国际服装科技设备展览会                      
