公司名,项目名,项目年份,固定电话,手机,所在地区,来源网页
浙江新大禾丰贸易有限公司 , 2015年2月法国巴黎国际服装采购展 , 2015 , 8260-1037761 ,  ," 浙江省,丽水市,庆元县 "," http://wenku.baidu.com/link?url=ovwHx7GY0MYCU1rrjQy0-iyvUrSgidu_HghsvY4sn1YguCA_0xFVxfUZH_n9eXdCP49sBBJL0qAsyfaHf_Ct31xRP_xIKF0S7zFtEK7LTSW
"
浙江新大三源控股有限公司 , 2015德国柏林亚洲服装及配饰博览会 , 2015 , 571-83783561 ,  ," 浙江省,丽水市,庆元县 "," http://www.c-c.com/uqyl/6255880/pros/
"
浙江东方集团服装服饰进出口有限公司 , 2015年2月美国拉斯维加斯服装与鞋展 , 2015 , 0571-87600841 ,  ," 浙江省,丽水市,庆元县 "," http://www.11467.com/hangzhou/co/198333.htm
"
浙江中大新时代纺织品有限公司 , CIFS 2015斯里兰卡科伦坡国际面料展 , 2015 , 0571-85777212 ,  ," 浙江省,丽水市,庆元县 "," http://17235341.1024sj.com/
"
浙江东方集团服装服饰进出口有限公司 , 2015年2月美国拉斯维加斯服装与鞋展 , 2015 , 0571-87600841 ,  ," 浙江省,丽水市,庆元县 "," http://zhejiangdongfangzj.ce.c-c.com/
"
浙江中大新时代纺织品有限公司 , CIFS 2015斯里兰卡科伦坡国际面料展 , 2015 , 0571-85777189 ,  ," 浙江省,丽水市,庆元县 "," http://www.texindex.com.cn/Company/Detail/146409.html
"
浙江东方集团服装服饰进出口有限公司 , 2015年2月美国拉斯维加斯服装与鞋展 , 2015 , 0571-87213367 ,  ," 浙江省,丽水市,庆元县 "," http://www.czvv.com/detail_4c34680390b2c5dc20b88744.html
"
浙江新大禾丰贸易有限公司 , 2015年2月法国巴黎国际服装采购展 , 2015 , 0571-87566839 , 13867122460 ," 浙江省,丽水市,庆元县 "," http://www.b2b168.com/c168-8212818.html
"
浙江百业贸易有限责任公司 , 2014年10月巴西圣保罗Go Tex国际纺织采购博览会 , 2015 , 7884-65738479 , 13267656772 ," 浙江省,丽水市,庆元县 "," http://www.tianyancha.com/company/79609164
"
浙江新大禾丰贸易有限公司 , 2015年2月法国巴黎国际服装采购展 , 2015 , 0572-87566881 ,  ," 浙江省,丽水市,庆元县 "," http://17282562.1024sj.com/
"
浙江东方集团建业进出口有限公司 , 2015德国柏林服装.面料及辅料展览会 , 2015 , 0571-87600029 , 15122400000 ," 浙江省,丽水市,庆元县 "," http://www.xizhi.com/COMDAAMUwYJAQESPFN/
"
